question,réponse,url
"Si on transmet une URL privée à un reviewer, aura-t-il un accès aux données avec restriction ?","Oui, l'URL privée permet d’accéder aux fichiers d’un jeu de données non encore publié (statut draft), même si ces fichiers sont en accès restreint.",https://www.prix-carburants.gouv.fr/rubrique/faq/
"Si les données sont déjà entreposées ailleurs et accompagnées de métadonnées hors Recherche Data Gouv, la métadonnée « Link to Data » peut-elle pointer vers la page décrivant les données plutôt que vers les données elles-mêmes ?","Oui, si les métadonnées apportent des informations complémentaires à celles saisies dans l'entrepôt-catalogue Recherche Data Gouv.
Note : Dans le cas où l’autre entrepôt attribue un DOI, il ne faut pas créer de jeu de données dans l'entrepôt-catalogue Recherche Data Gouv.",https://www.prix-carburants.gouv.fr/rubrique/faq/
Peut-on limiter l’accès ou mettre un embargo à un jeu de données ou à une collection ?,"On peut restreindre l’accès à un fichier d’un jeu de données. L’entrepôt Recherche Data Gouv ne gère pas automatiquement la durée de cette restriction d’accès (embargo), il revient au déposant du jeu de données d’enlever la restriction le moment venu. 
Pour limiter l’accès à un jeu de données dans son ensemble, il ne doit pas avoir été publié. L’accès à ce jeu de données ne sera alors possible qu’aux personnes autorisées ou via son URL privée.
On ne peut pas limiter l’accès à une collection publiée.",https://www.prix-carburants.gouv.fr/rubrique/faq/
Faut-il indiquer dans Link to data un lien direct vers la donnée ou peut-on indiquer la base de données dont est extrait le jeu de données ?,"La métadonnée ""Link to data"" indique le lien direct vers les données. Un lien vers une base de données ne permettra pas de retrouver précisément les données décrites par le jeu de données. La base de données dont le jeu de données est extrait peut être mentionnée dans la métadonnée ""Data sources"".",https://www.prix-carburants.gouv.fr/rubrique/faq/
Est-ce que les métadonnées de Recherche Data Gouv sont collectées par Google ?,"Oui, les données sont indexées par Google Dataset Search.",https://www.prix-carburants.gouv.fr/rubrique/faq/
Les jeux de données restent-ils accessibles s’il n’y a plus de personne contact (par exemple : départ à la retraite) ?,L’accessibilité des jeux de données ne change pas. Il est en revanche nécessaire de maintenir une personne contact (qui peut être l’administrateur de la collection parente) et éventuellement d’attribuer des droits pour modifier le jeu de données ou donner accès à des fichiers restreints.,https://www.prix-carburants.gouv.fr/rubrique/faq/
Peut-on changer les métadonnées facultatives pour les rendre obligatoires ? Que se passe-t-il alors pour les jeux de données déjà créés et dont les métadonnées facultatives n’étaient pas renseignées ?,"Oui, on peut rendre obligatoire une métadonnée qui était facultative. Il n’y a pas d’impact sur les jeux de données déjà publiés tant qu’ils ne sont pas modifiés. Lors d’une modification, la métadonnée obligatoire devra alors être renseignée.",https://www.prix-carburants.gouv.fr/rubrique/faq/
Y a t-il une charte graphique à respecter pour les collections ?,"Non, il n'y a pas de recommandation particulière de la part de la plateforme Recherche Data Gouv. Quelques contraintes techniques sont indiquées dans le paramétrage de la collection (menu Thème + Widget).
Il est néanmoins possible de se référer à la documentation spécifique de l'espace institutionnel concerné pour voir si des recommandations particulières sont précisées.",https://www.prix-carburants.gouv.fr/rubrique/faq/
Un administrateur de collection peut-il créer une alerte pour être prévenu lorsqu’un jeu de données a été créé depuis plus d’un an et n’est toujours pas publié ?,"Il n’est pas possible pour le moment d’enregistrer une alerte automatique dans l'entrepôt Recherche Data Gouv. 
Par contre, il est possible de repérer, dans une collection, les jeux de données créés à une date précise et encore non publiés.
Par exemple : écrire la requête dateOfDeposit:[* TO 2020] puis sélectionner via les facettes les jeux de données « non publiés » (il est nécessaire de se connecter pour utiliser cette facette).",https://www.prix-carburants.gouv.fr/rubrique/faq/
Est-il possible de faire de la curation sur des jeux de données envoyés par l’API ?,"La plupart des fonctionnalités de collection est disponible via les API Dataverse, y compris l’attribution de rôles pour mettre en place un processus de curation. L’API permettra d’envoyer un jeu de données en révision, il ne sera publié que si la commande de publication est exécutée. Un jeu de données créé par l’API peut également être modifié via l’interface utilisateur.",https://www.prix-carburants.gouv.fr/rubrique/faq/
Je dois centraliser les données d’un programme multipartenaires. Est-ce que je peux verser dans l’entrepôt Recherche Data Gouv les données produites par tous les partenaires ?,"Oui, toutes les données d’un projet peuvent être déposées dans l'entrepôt Recherche Data Gouv. Le dépôt doit être fait dans la collection dédiée au projet dans l’espace institutionnel d’un des partenaires, s’il existe. Dans le cas contraire le dépôt sera fait dans l’espace générique.
Si des jeux de données ont déjà été déposés ailleurs, renseigner la métadonnée « Related datasets » pour indiquer le lien vers ces jeux de données.
Penser à indiquer chaque producteur dans la métadonnée « Producer ».",https://www.prix-carburants.gouv.fr/rubrique/faq/
Quels critères doit respecter un jeu de données pour être accepté à la publication sur l’entrepôt Recherche Data Gouv ?,"Pour qu’un jeu de données soit publié sur l’entrepôt Recherche Data Gouv, il doit respecter ces  critères :


Les données sont produites dans un contexte de recherche ;


Les données sont structurées et déposées de préférence dans un format exploitable par les machines.",https://www.prix-carburants.gouv.fr/rubrique/faq/
Qui peut déposer des données dans l’entrepôt Recherche Data Gouv ?,Seules les données de la recherche produites par des équipes de recherche dont au moins un des collaborateurs est affilié à un établissement membre de la communauté de la recherche publique française sont acceptées de droit dans l’entrepôt Recherche Data Gouv.,https://www.prix-carburants.gouv.fr/rubrique/faq/
Peut-on déposer les données dans un autre entrepôt ?,"Oui, Il est fortement recommandé de déposer vos données de recherche dans un entrepôt de référence pour votre communauté thématique. Si ce n’est pas possible, les données peuvent être déposées dans un entrepôt de votre établissement ou dans l’entrepôt Recherche Data Gouv.",https://www.prix-carburants.gouv.fr/rubrique/faq/
Peut-on déplacer des collections ?,"Un administrateur de collection ne peut pas le faire, seuls les administrateurs fonctionnels de l’entrepôt Recherche Data Gouv le peuvent. Il est donc nécessaire de bien réfléchir au positionnement d’une collection avant sa création.
Il est possible de lier une collection à une autre pour la faire apparaître comme une sous-collection, mais le contenu de celle-ci ne sera pas visible dans la collection cible.
Pour déplacer ou lier une collection contacter le Centre de ressources entrepôt-catalogue : support-recherchedatagouv@inrae.fr.",https://www.prix-carburants.gouv.fr/rubrique/faq/
Peut-on rattacher une collection à plusieurs collections parentes ?,"Une collection n’est rattachée qu’à une seule collection parente, celle dans laquelle elle a été créée. Il est possible de lier une collection à une autre pour qu’elle apparaisse comme une sous-collection. Pour lier une collection contacter le Centre de ressources entrepôt-catalogue : support-recherchedatagouv@inrae.fr.",https://www.prix-carburants.gouv.fr/rubrique/faq/
Est-ce qu’un jeu de données peut être raccroché à une collection a posteriori ?,"Oui, mais seul le Centre de ressources entrepôt-catalogue Recherche Data Gouv peut déplacer un jeu de données d’une collection vers une autre. Il est préférable de faire un lien plutôt qu’un déplacement.",https://www.prix-carburants.gouv.fr/rubrique/faq/
Quelle est la taille maximale d’une collection ?,"Il n’y a pas de taille maximale pour une collection, hormis la volumétrie de l’espace institutionnel qui la contient. Voir « Quelle est la volumétrie d’un espace institutionnel ?  ».",https://www.prix-carburants.gouv.fr/rubrique/faq/
Quelle est la durée de stockage des données ?,"L'hébergement sécurisé et la mise à disposition des données sont garantis pendant un minimum de 5 ans renouvelables après la publication. Cette durée constitue un plancher, il ne s'agit pas de la durée maximum de conservation des données qui peut varier selon les jeux de données.",https://www.prix-carburants.gouv.fr/rubrique/faq/
Je dois centraliser les données d’un programme multipartenaires. Est-ce que je peux verser dans l’entrepôt Recherche Data Gouv les données produites par tous les partenaires ?,"Oui, toutes les données d’un projet peuvent être déposées dans l'entrepôt Recherche Data Gouv. Le dépôt doit être fait dans la collection dédiée au projet dans l’espace institutionnel d’un des partenaires, s’il existe. Dans le cas contraire le dépôt sera fait dans l’espace générique.
Si des jeux de données ont déjà été déposés ailleurs, renseigner la métadonnée « Related datasets » pour indiquer le lien vers ces jeux de données.
Penser à indiquer chaque producteur dans la métadonnée « Producer ».",https://www.prix-carburants.gouv.fr/rubrique/faq/
